Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Benin,BEN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,34114.82203,219701.4201,,,,,,,,,,,,385102.2659,442031.0748,1556059.393,508365.1799,366585.2492,656172.8959,829282.3279,1894355.481,2305574.528,1861723.809,1594981.402,1971761.938,2755662.165,2981873.95,2881215.841,1907320.685,2321130.292,5060318.619,2252116.352,17719.17952,596399.8772,18003.94798,
Burkina Faso,BFA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4193618.193,15299.58179,166921.6455,185348.4276,512509.5852,111048.9637,283978.8576,301649,301392.5769,250801.4761,233325.0738,460364.652,438073.1617,
Bangladesh,BGD,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4602195.485,7730578.203,5101004.817,5528115.65,4420433.713,5501180.321,3126595.325,3714009.002,5091128.134,4370238.875,5241859.55,7675990.798,21923483.75,8385816.874,17636698.54,10470569.01,10816541.94,20488449.15,30127601.64,24374495.85,46541986.24,25453081.14,
Bulgaria,BGR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9860817.7,11473845.9,23347047.84,24433653.25,30520223.55,80611097.17,69439205.5,77561078.17,95185418.76,117239687.6,114240000,140180000,184750000,197870000,229820000,185840000,183510000,178800000,
Bahrain,BHR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,1000000,2400000,2500000,2900000,3100000,7300000,3400000,3500000,3700000,5700000,3900000,3900000,3700000,2600000,3200000,3700000,3200000,1200000,5100000,4600000,6400000,9600000,9100000,12200000,14200000,13200000,13656000,14600000,18500000,16087000,17670000,19680000,17890000,17480000,10570000,15272000,16753000,19200000,19514760.92,17658586.93,22875962.77,14190513.67,
Bosnia and Herzegovina,BIH,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8258726.12,9601090.114,10797196.74,5967649.542,5468247.411,4604166.894,9082194.357,7514459.638,6923384.87,9975386.655,7831871.701,8759802.107,
Belarus,BLR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000,1100000,800000,2700000,3800000,3200000,5500000,9100000,19500000,50500000,52500000,75200000,76000000,102700000,89200000,106800000,145100000,237300000,132700000,125700000,157100000,
Belize,BLZ,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,100000,200000,1250000,250000,200000,200000,250000,400000,300000,100000,58500,109000,400000,500000,100000,2483130.5,2920196.015,2192434.96,343911.6623,229944.9643,421590.46,390409.2766,381894.1646,863405.5421,743250.8072,1100349.464,1382149.283,1976691.481,2271626.485,2338069.771,4847919.581,4139216.684,2625094.432,3585358.784,
Bermuda,BMU,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4690000,4600186.294,6328373.968,9317683.234,8796579.651,9900275.143,10277577.51,10932020.48,11763872.73,8594322.147,8461475.48,8090866.7,
